cena,lokacija,velikost,leto,vrsta,podvrsta,prodajalec,opis 
"634.900,00","LJ. BEŽIGRAD, VILA Z RAZGLEDOM","160,4",2020,Stanovanje, 4-sobno,"Returnet, nepremičnine in poslovno svetovanje, Jana Klenar Aydin, s.p. ","VILA BLOK ima 4 stanovanja locirana blizu obvoznice, šole, vrtca, trgovine, pošte, banke, gospodarskih organizacij. Konstrukcija je klasična AB gradnja, prezračevana fasada, okna trislojna iz AL in senčili. Višina stropa je 2,8m. Ograjena stavba, vstop v stanovanja z dvigalom, ki zapelje v stanovanje, ključavnica na kartico. Oglaševano stanovanje je 4-sobno v 1.nadstropju z ložo. Stanovanju pripada še shramba v kleti, 2 parkirna zunanja prostora in skupna kolesarnica. Bivalni prostor 102,6m2, shramba v stanovanju 17,3m2, loža 10,1m2 in shramba v kleti 30,4m2.  Stanovanje ima 2 kopalnici s sanitarijami, ločeno pralnico in garderobo. Stanovanje odlikujejo svetlost, zračnost in prostornost, kar dejansko vpliva na kvaliteto bivanja. Dostop na parkirišče je omejen z drsnimi vrati, smetnjaki so ločeni in zaprti, vsak parking ima predpripravo za polnilno postajo za napajanje električnih avtomobilov. Cena stanovanja je z vključenim DDV-jem. Vabljeni na ogled po predhodnem dogovoru."
"300.000,00","LJ. BEŽIGRAD, VOJKOVA CESTA","79,2",1982,Stanovanje, 3-sobno,Zasebna ponudba,"Na dobri lokaciji poleg športnega parka Stožice, na Vojkovi ulici, se prodaja svetlo, moderno in lepo opremljeno trosobno stanovanje. Stanovanje se nahaja v 7. nadstropju in ima jugozahodno lego z odprtim pogledom, kar zagotavlja ogromno svetlobe skozi cel dan.  Stanovanje sestoji iz predsobe, iz katere je vhod v kopalnico s kadjo, ločen utility kotiček z WCjem, kuhinjo z jedilnico, iz katere je izhod na prostoren balkon, dnevni prostor z delovnim kotičkom, ter dve spalnici. V kleti objekta je še lastniška klet. Neto tlorisna površina stanovanja je 79,2 m2 (od tega čiste stanovanjske površine 70,8 m2, 2,2 m2 kleti ter 6,2 m2 balkona).  Kuhinja je bila prenovljena leta 2004, leta 2011 pa še kopalnica, WC, menjana so bila tudi okna.  Parkirišče je zagotovljeno na zaščitenih površinah pred blokom, do katerega se dostopa s kartico (2x).  Stanovanje se nahaja v neposredni bližini trgovin, mestnega potniškega prometa, vrtcev, šol, fakultet, športnega parka Stožice in ostalih rekreacijskih površin. Priključki: optika, ločeni števci za elektriko, toplo in hladno vodo ter centralno ogrevanje- toplovod. V ceno je vključena celotna oprema, razen opreme v otroški sobi. Za stanovanje je izdelana energetska izkaznica: razred C. Brez bremen. Vseljivo s 15.januarjem 2022. "
"450.000,00",LJ. CENTER,115,1955,Stanovanje, 3-sobno,LJUBLJANA NEPREMIČNINE d.o.o. ,"Posredujemo pri prodaji v celoti prenovljenega, nadstandardno opremljenega stanovanja na odlični lokaciji v centru. Po prenovi še ni bilo vseljeno. Stanovanje je svetlo, v celoti opremljeno z vrhunskim designerskim pohištvom in aparati, klimatizacijo, senčenjem. Po celotni dolžini stanovanja je terasa z vrtnim pohištvom in ozelenitvijo. Nahaja se v prvem nadstropju z dvigalom.  Razporeditev prostorov:  - hodnik  - kuhinja z jedilnico ter shrambo, z izhodom na teraso  -  kopalnica  - wc ter utility  -  dnevna soba  - spalnica I. s tušem  - spalnica II. z izhodom na teraso  Stanovanju pripada klet v velikosti 8 m2. Parkirati je mogoče z dovolilnico pred stavbo, ali najeti garažno mesto v bližnji garažni hiši, na voljo pa je tudi plačljivo zunanje parkirišče v neposredni bližini.  V bližini je vsa potrebna infrastruktura (trgovine, lekarna, center mesta) in rekreacijske površine (park Tivoli iz katerega se lahko odpravite na Rožnik, Šišenski hrib, vse do Koseškega bajerja, peš ali s kolesom).  Vabljeni na ogled.  Pogoj prodajalca za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene. "
"650.000,00","LJ. BEŽIGRAD, Z DELAVNICO","303,5",1970,Stanovanje, 5 in večsobno,MKA nepremičnine d.o.o. ,"Posredujemo pri prodaji več sobnega stanovanja, ki v naravi predstavlja poslovno stanovanjski objekt.  Nahaja se na Slovenčevi ulici v neposredni bližini AC priključka ter ostale infrastrukture. Objekt obsega pritlični - poslovni del (121m2) z delavnico, pralnico, dva prostora, shramba, hodnik ter stanovanjski del v nadstropju ter mansardi (skupaj 182,5m2). Stanovanjski del v nadstropju obsega stopnišče, hodnik, 2 sobi, dnevno sobo s kuhinjo, shrambo, dve kopalnici. V nadstropju sta tudi večja terasa ter balkon. V mansardnem delu pa se nahaja hodnik, sobo ter velik odprt prostor. Objekt je lepo vzdrževan, delno obnovljen (streha 2000, fasada 1996,...). Poslovni del se lahko uporablja za različne dejavnosti... Objekt ima vse priključke, vpisano v zemljiško knjigo. Vabljeni, da si ogledate preostalo ponudbo nepremičnin na naši spletni strani www.mka.si. Prav tako Vas vabimo, da nas kontaktirate, za posredovanje pri prodaji ali oddaji Vaše nepremičnine na info@mka.si"
"320.000,00","LJ. BEŽIGRAD, ZRAVEN OBVOZNICE","132,9",1952,Stanovanje, 2-sobno,"Nepremičnine Agencius, Kristijan Mohorko s.p. ","Leta 2009 zgrajeno stanovanje v 2. nadstropju (79,59 m2) večstanovanjske hiše skupaj s stanovanjem v 1. nadstropju, površina dela stavbe 132,90 m2 (106,50 m2 bivalni prostor; odprta terasa, balkon 12,90 m2 in klet 13,50 m2). Stanovanje v 2. nadstropju obsega: dnevni prostor z kuninjo z vsemi gospodinjskimi aparati in opremo,spalnica z garderobnim prostorom, kopalnica, utility, pokrita terasa, iz dnevnega prostora je možen preboj v nižje nadstropje s stopnicami kjer se nahaja eno sobno stanovanje z kopalnico in balkonoma. Leta 2009 na novo narejena streha Decra in alum. kritina, PVC zunanja okna in vrata Schuco, notranja vrata Lip Bled, klima, domofon optika T2, toplovod, tla so v kombinaciji keramika oz. parket slavonski hrast. Parcela v izmeri 50 m2 in zidana garaža v izmeri 14 m2. Etažirano, gradbeno in uporabno dovoljenje, vpisano v ZK. Po dogovoru lahko ostane vsa oprema. Lega V-J, pokrita terasa Z, enosmerna ulica čez obvoznico, v bližini vsa infrastruktura. Pogoj prodajalca je, da kupec poravna 2% davek na promet z nepremičninami."
"115.000,00",LJ. CENTER,20,1961,Stanovanje, Garsonjera,Zasebna ponudba,"Stanovanjski objekt se v središču centra mesta Ljubljana blizu Ljubljanske tržnice. Parkiranje ob stavbi oz. na ulici z letno dovolilnico, ali parkirni hiši, ki je v neposredni bližini. Gre za center mesta, tako da je vsa infrastruktura pri roki: Šola. vrtec, pošta, banka, lekarna, tržnica, trgovine, LPP. Stavba je bila zgrajena leta 1961 - klasična gradnja, je v dobrem stanju. Stavba nima dvigala. Adaptacija stanovanja je bila izvedena leta 2020 v celoti, in sicer; - vsi priključki (voda in elektrika) - okna in vrata - stene - talne obloge - kopalnica in kopalniška oprema - vsa ostala oprema (kuhinja, omare, sofa - postelja ipd.) Lega stanovanja je J/JV. K stanovanju spada tudi klet v izmeri 3 m2. Vpisano v zemljiško knjigo. Stanovanje je vseljivo v roku 30 dni."
"159.000,00",LJ. CENTER,30,1896,Stanovanje, Garsonjera,DVOREC POSREDNIŠKA HIŠA d.o.o. ,"Lokacija: V strogem centru na Trubarjevi ulici Razporeditev prostorov: stanovanje v 1. nadstropju od 2. v izmeri 30 m2 neto tlorisne površine in 28,40 m2 uporabne površine obsega kopalnico s straniščem, večji prostor kjer je kuhinja in dnevna soba ter ločen del – spalnico. Stropi so visoki 2,90 metra.  Stanovanju pripada manjša drvarnica na dvorišču, ki je idealna za shranjevanje koles. Prednost stanovanja je lokacija, saj se nahaja v strogem centru in je idealna za dinamične stanovalce,  ki želijo biti v središču dogajanj. Prav tako pa je stanovanje izjemno zanimivo tudi za oddajanje. Obnova: fasada je bila obnovljena leta 2015, streha bo predvidoma do konca leta 2021. Stanovanje je bilo v celoti obnovljeno leta 2018, vsa elektro in vodovodna napeljava in oprema.  Oprema: vsa oprema v kopalnici in v kuhinji lahko ostane.  Lega: sončno, vzhodna lega Telekomunikacije: vsi priključki, Telemach Ogrevanje: stanovanje se ogreva na električne radiatorje, sanitarna voda na električni bojler. Parkiranje: z dovolilnico MOLa, najbližje je v Mali ulici. Infrastruktura:  v bližini je vsa potrebna infrastruktura, banke, trgovine, mestni potniški promet… Stroški: stavba ima upravnika – Valina, stroški so nizki, upravnik voda in smeti 30 eur, rezervni sklad 8 eur, elektrika poleti 30 eur, pozimi 70 eur. Predviden strošek za obnovo strehe do največ 4.000 eur. Stanovanje je etažirano in vpisano v zemljiško knjigo ter brez bremen. Ponudbeni pogoj prodajalca: plačilo davka na promet nepremičnin prevzame kupec. Prijazno vabljeni na našo spletno stran www.nepremicnina-dvorec.si, kjer se lahko seznanite z našo ponudbo in pogoji nakupa in prodaje."
"152.000,00",LJ. CENTER,"32,35",1896,Stanovanje, 1-sobno,KREATIVDOM d.o.o. ,"Enosobno stanovanje, 32,35 m2, v pritličju – Ljubljana-Center Na odlični lokaciji, v samem centru Ljubljane, prodamo enosobno stanovanje. Nahaja se v staromeščanskem objektu, zgrajenem l. 1896, brez dvigala in z obnovljeno fasado. Lokacija ponuja veliko zelenih in sprehajalnih površin. Popolnoma vsa infrastruktura je dosegljiva peš, v bližini se nahaja mestno središče in UKC.  Površina, razporeditev in lega  Stanovanje obsega 32,35 m2 celotne površine, kar predstavlja tudi neto bivalno površino. 	Stanovanje obsega vstopni predprostor, dnevni prostor s kuhinjo in jedlinico, splanico ter kopalnico. 	Stanovanje je s spalnico orientirano na S in z vhodnim delom na J. Prenove in opremljenost Stanovanje je poterbno celotne prenove.  Dodatne karakteristike  Dvigalo: ne 	Balkon: ne 	Parkiranje: parkirišče v okolici objekta 	Internet: optika 	Ogrevanje: toplovod, električni bojler za sanitarno vodo Opis lokacije in razpoložljiva infrastruktura V okolici se nahaja vsa potrebna infrastruktura (osnovna šola, vrtec, srednjele šole, lekarna, UKC, trgovine, center mesta, obrežje Ljubljanice, avtobusna postaja, sprehajalne in zelene površine,…).  Ostalo ZK urejeno in prosto bremen. Vseljivo po dogovoru.  Prodajalčev ponudbeni pogoj je, da kupec povrne del stroška prodaje v višini 2% pogodbene vrednosti + DDV.  Vabljeni na ogled.   "
"152.000,00",LJ. CENTER,"36,6",1896,Stanovanje, 2-sobno,MEZANIN PRO nepremičnine d.o.o. ,"Večstanovanjska tri nadstropna staromeščanska hiša z glavnim vhodom s Poljanske ceste, prostornim hišnim hodnikom, ki vodi na dvoriščno stran do stanovanj v pritličju in stopnišča proti stanovanjem v zgornjih nadstropjih. Stavba je klasično grajena, ves čas redno vzdrževana, z streho obnovljeno leta 2001 in fasado leta 2017. Stavba je opremljena z vsemi komunalnimi priključki in ogrevana z daljinskim ogrevanjem in toplotno postajo na dvorišču. Dvorišče stavbe je urejeno kot zelenica s pritličnim zidanim objektom na robu z drvarnicami. Stavba nima parkirišča, tako da je parkiranje možno na prostih parkirnih mestih v neposredni okolici. Opis nadstropja   Pritličje  Razporeditev prostorov: predprostor, dva večja bivalna prostora, dnevno-bivalni del in spalnica, mala tuš kopalnica/ WC. Pri vhodu ob stavbi je betoniran pas hodnika primeren za uporabo npr. kot mala terasa.Stanovanje je po tlorisu stavbe nameščeno prečno, z vhodnim in dnevnim delom na strani dvorišča ter spalnico na strani Poljanske ceste. Vsi prostori so zračni in svetli, večje stropne višine, cca. 350 cm visoki in obokani. Zaključno so obdelani z talnimi lesenimi oblogami (ladijski pod), ometanimi in beljenimi stenami in stropi ter keramičnimi oblogami v kopalnici. Okna so lesena, dvojna termopan zasteklitev in PVC rolete, zamenjana leta 2000. Vhodna in notranja vrata so lesena. Stanovanje je redno vzdrževano, v dobrem stanju, v preteklem obdobju pa že nekaj časa ni bilo obnovljeno. Stanovanje je trenutno zasedeno z najemnikom, s katerim bi bilo možno podaljšati najemno razmerje.  Opis lokacije  Izvrstna lokacija v območju starejših in novejših večstanovanjskih stavb in trgovin na vzhodnem robu samega centra mesta. Vsa javna infrastruktura in zelene rekreacijske površine so na dosegu peš razdalje. Center mesta je dobrih 15 minut hoje stran.   Za več informacij, točen naslov in dodatne slike pojdite na spletno stran https://mezanin.si/adverts/1321. Agentu napišite Sporočilo ali si Rezervirajte ogled, da vam lahko pomagamo do vašega novega doma! MEZANIN – nepremičninska agencija, kjer prodajalec plača fiksno ceno 1.590 €, kupec pa naši agenciji za posredovanje ne plača ničesar.  "
"118.000,00",LJ. CENTER,"36,8",1910,Stanovanje, 2-sobno,Nepremičnine Plus d.o.o. ,"Na Šmartinski ulici, zraven Orto bara prodamo dvosobno stanovanje v pritličju. Ima dva prostora, spalnico in dnevno sobo z jedilnico, predprostor ter kopalnico. Skupne površine je 36,8m2.  Leta 2006 je bilo z vsemi inštalacijami vred popolnoma obnovljeno. Torej nova tla-laminat, plastična okna, kuhinja, nov elektro števec (prej odštevalni). Strop je spuščen in lahko dvignete še za 90cm.   Ogrevanje je na toplarno, razlike med poletjem/zimo je le 10€ (20€-30€), ker je že tako dovolj toplo in najemnik ni dodatno ogreval. Stroški eletrike so med 30€-40€, snage 8€, upravniški pa prav tako zelo nizki med 25€-30€. Rezervni sklad znaša 12€.   Parkirana mesta pred stavbo so, a ne lastniška.   Pogoj prodajalca za sklenitev kupoprodajnega posla: kupec je dolžan povrniti del stroškov prodaje v višini 2% pogodbene vrednosti + DDV.       "
"184.900,00",LJ. CENTER,"38,2",1763,Stanovanje, 1,MESTO NEPREMIČNIN d.o.o. ,"Staromeščansko enoinpolsobno stanovanje pod Ljubljanskim gradom(1/2. nadstropje, adaptirano l. 2021) V strogem centru Ljubljane, neposredno pod Grajskim gričem, prodamo 1,5-sobno stanovanje. Stanovanje je bilo med leti 2017-2021 popolnoma prenovljeno, dodatno ga odlikujejo visoki stropi. Leta 2018 je bila zamenjana streha samega objekta, v kratkem pa se načrtuje tudi prenova pročelja - sredstva za obnovo so že zagotovljena. Stanovanje se nahaja na izjemni lokaciji v strogem središču mesta (500 m do Tromostovja, 200 m do Gallusovega nabrežja, 500 m do Ljubljanskega gradu). Edinstvena lokacija združuje živahnost in dušo starega mestnega jedra ter mir in povezanost z naravo (v neposredni bližini je mnogo rekreacijskih površin in sprehajalnih poti). OSNOVNE ZNAČILNOSTI Parkirno mesto: v ulici z mestno parkirno dovolilnico Dvigalo: ne Prenovljeno: popolnoma l. 2021  POVRŠINA Skupne površine: 38,2 m2 Bivalne površine: 36,8 m2 Klet: 1,4 m2 RAZPOREDITEV SOB Vstopni hodnik Kuhinja z jedilnico (trenutno je prostor prazen) Glavna spalnica Dnevno-bivalni prostor Kopalnica OPREMA Stanovanje se prodaja delno opremljeno oz. po dogovoru Protivlomna vrata PRIKLJUČKI Internet: optika Ogrevanje: mestni plin + boljer za sanitarno vodo PRENOVA L. 2021: popolna prenova LEGA Jugozahod, severovzhod INFRASTRUKTURA Stanovanje se nahaja v strogem mestnem jedru, parkiranje je mogoče v ulici z mestno dovolilnico. V bližini se nahaja vsa potrebna infrastruktura za udobno in sproščeno bivanje (šola, vrtec, LPP, pošta, lekarna, banka, trgovina, gostinski lokali, restavracije).  OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"169.000,00",LJ. CENTER,"43,3",1931,Stanovanje, 2,MESTO NEPREMIČNIN d.o.o. ,"Dvoinpolsobno stanovanje v centru Ljubljane(4/4 nadstropje, l. 1931, v celoti prenovljeno l. 1995) V centru mesta, v neposredni bližini hotela Intercontinental, prodamo izredno svetlo, mansardno dvoinpolsobno stanovanje, ki ima odlično razporeditev prostorov. Stanovanje se nahaja v zelo urejeni staromeščanski hiši. Oprema in aparati so dobro ohranjeni ter so vključeni v ceno. OSNOVNE ZNAČILNOSTI Dvigalo: ne Balkon: ne Parkirno mesto: možnost parkiranja pred stavbo z dovolilnico. V neposredni bližini se nahaja tudi garažna hiša Kozolec. Prenovljeno: stanovanje ima nova protivlomna vrata ter strešna okna Velux. Nova peč na zemeljski plin. POVRŠINA Skupne površine: 43,3 m2 Bivalne površine: 43,3 m2 RAZPOREDITEV SOB Dolg vstopni hodnik z garderobnimi omarami Enoten dnevno-bivalni prostor s kuhinjo, jedilnico ter dnevno sobo Spalnica Kabinet (galerija) Kopalnica z WC-jem OPREMA Oprema vključena v ceno: da / stanovanje se prodaja v celoti opremljeno Klima: da, nameščena je v dnevnem prostoru PRENOVA L.1996: streha   L.2003: fasada PRIKLJUČKI Internet: optika Ogrevanje: zemeljski plin LEGA ZAHOD: dnevno-bivalni prostor INFRASTRUKTURA Stanovanje se nahaja v bližini Bavarskega dvora. Udobno in sproščeno bivanje nudi vsa infrastruktura: osnovna šola, vrtec, pošta, lekarna in gostinski lokali. DODATNO Vpisano v ZK in bremen prosto. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"195.000,00",LJ. CENTER,"45,6",1880,Stanovanje, 2,DVOREC POSREDNIŠKA HIŠA d.o.o. ,"2,5 sobno stanovanje v šest stanovanjski hiši v drugem nadstropju od dveh, v izmeri 45,60 m2 obsega hodnik, kopalnico s straniščem,  spalnico, manjši kabinet, kuhinjo z jedilnico in prostorno dnevno sobo. Stanovanje je bilo leta 2008 lepo prenovljeno. Na zgradbi je bila leta 2004 zamenjana streha. Stanovanju pripada garaža, eno parkirno mesto na dvorišču in delež vrta ob hiši. Ogrevanje je centralno na etažno plinsko peč, prav tako sanitarna voda. Vpisano v zemljiško knjigo, vseljivo po dogovoru. Prijazno vabljeni na našo spletno stran www.nepremicnina-dvorec.si, kjer se lahko seznanite z našo ponudbo in pogoji nakupa in prodaje."
"450.000,00",LJ. CENTER,"115,2",1955,Stanovanje, 3-sobno,Rocco nepremičnine d.o.o. ,"Na odlični lokaciji v centru mesta prodamo funkcionalno zasnovano 3 sobno stanovanje, ki se nahaja v stavbi zgrajeni leta 1955. Popolnoma obnovljeno in vrhunsko opremljeno stanovanje se nahaja v 1. nadstropju, v kletnih prostorih mu pripada tudi shramba. Stavba ima dvigalo. Lokacija stanovanja je odlična, v bližini se nahaja park Tivoli, strogo središče mesta in vsa potrebna infrastruktura (trgovine, banka, lokali, restavracije, pošta, postajališče LPP, …). Parkiranje je možno na bližnjem parkirišču, kjer se lahko parkirno mesto najame (70EUR/mesec). Dizajnersko stanovanje odlikuje premišljen in prijetno razgiban tloris, ki se razteza na 93,3 m2 neto površine: predsoba nas popelje v prostorno kuhinjo, jedilnico in utility s pralnim strojem. Kuhinja je opremljena z visokokakovostno opremo ter vsemi potrebnimi gospodinjskimi aparati. Dnevni prostor je ločen od kuhinje in nudi moderno sedežno garnituro ter vrhunsko pohištvo. Iz dnevne sobe, kuhinje ter spalnice je izhod na prijeten balkon. Kopalnica s tušem je prostorna, uporabljeni so bili zgolj najboljši materiali, ločeno se nahaja tudi dnevna toaleta. Spalni del predstavljata dve okusno opremljeni spalnici. Ena izmed spalnic ima lastno kopalnico s tušem.  Skozi celotno stanovanje je bil uporabljen kakovosten parket. V stanovanju je vgrajena klimatska naprava. Stanovanje je popolnoma obnovljeno in vrhunsko opremljeno. Stanovanje omogoča visoko kvaliteto bivanja na odlični lokaciji.  Vabljeni na ogled!"
"230.000,00",LJ. CENTER,46,1896,Stanovanje, 2-sobno,DVOREC POSREDNIŠKA HIŠA d.o.o. ,"Lokacija: v mestnem središču, v peš coni, par minut do Prešernovega trga Razporeditev prostorov: stanovanje v 1. nadstropju od 1. v izmeri 46,50 m2 neto tlorisne površine in 44,40 m2 uporabne površine obsega hodnik, kopalnico s straniščem, kuhinjo z jedilnico in prostorno dnevno sobo, ki je razdeljena v dnevni del in 2 manjši spalnici. Stanovanju pripada del notranjega dvorišča. Prednost stanovanja je lokacija, saj je v neposredni bližini čisto vse, kar potrebujete za udobno življenje. Stanovanje je izjemno zanimivo tudi kot investicija za turistično ali dolgoročno oddajanje. Obnova: leta 2018 je bila obnovljena streha, fasada leta 2015. Leta 2017 je bilo obnovljeno stanovanje: podi, zravnane stene, električna in vodovodna napeljava. Nova okna so bila vgrajena leta 2019, kopalnica pa je bila obnovljena leta 2020. Oprema: vsa oprema v stanovanju lahko ostane, vključno z gospodinjskimi aparati. Lega: južna lega. Telekomunikacije: vsi priključki, T-2, Telekom, Telemach. Ogrevanje: centralno na električni bojler Vailant, enako se ogreva sanitarna voda. Parkiranje: parkirno mesto z dovolilnico MOLa na Mali ulici. Infrastruktura:  v bližini je vsa potrebna infrastruktura, šola, vrtec, mestni potniški promet, trgovina, banka, pošta in prijeten sprehod ob Ljubljanici ….. Stroški: stavba ima upravnika cca 102 eur, elektrika pozimi do 100 eur, voda cca  15 eur. Energetska izkaznica »F« Stanovanje je etažirano in vpisano v zemljiško knjigo. Ponudbeni pogoj prodajalca: plačilo davka na promet nepremičnin prevzame kupec.  Prijazno vabljeni na našo spletno stran www.nepremicnina-dvorec.si, kjer se lahko seznanite z našo ponudbo in pogoji nakupa in prodaje."
"250.000,00",LJ. CENTER,"47,7",1890,Stanovanje, 2-sobno,Zasebna ponudba,"V strogem centru mesta prodamo simpatično stanovanje v prenovljeni meščanski hiši, skupne bivalne površine 47.7m2, ki je bilo prenovljeno v letu 2014. Stanovanje ima V/J lego in je funkcionalno, svetlo in odprto. Obsega hodnik, kopalnico, kuhinjo z dnevno sobo ter spalnico z utility-jem. V stanovanju so vsi potrebni priključki, talna obloga je intarzija parket - hrast masiva. V kopalnici je poleg radiatorja tudi talno gretje. Možnost najema parkirnega mesta v neposredni bližini v parkirni hiši ( 60eur / mesec ) oz na ulici z dovolilnico. V hisi je dvigalo. Ogrevanje je preko toplarne, stroški bivanja nizki. Stanovanje je brez bremen in vpisano v ZK.  Vabljeni k ogledu."
"cca 210.000,00",LJ. CENTER,"49,8",1898,Stanovanje, 2-sobno,Arhidea d.o.o. ,"Staro meščansko stanovanje v Centru mesta se ponaša z dobro lokacijo, visokimi stropi, cca 3,65 m, svetlimi prostori in parkirnim mestom na dvorišču.  Stanovanje obsega predprostor, kopalnico in majhno kuhinjo ter veliko dnevno sobo in veliko spalnico. Potrebno je korenite obnove. Ogrevanja ni. Menjana so okna.   Iz sedanjega stanja stanovanja je z določenimi spremembami možno narediti zanimivo in zelo uporabno stanovanje. Pogojno možnost izvedbe balkona.  Stanovanju pripada še manjša shramba na hodniku, shramba v kleti in nekoliko večja drvarnica v kleti, prav tako tudi del podstrešja . Trenutno je hiša v fazi priprav na izvedbo centralnega ogrevanja.   Pri nakupu nudimo brezplačno svetovanje ARHITEKTKE z večletno prakso pri adaptacijah in notranji opremi.  Pogoj prodajalca je , da kupec plača 2 % ddv. Kupec ne plača provizije agencije. "
"192.000,00",LJ. CENTER,"50,6",1960,Stanovanje, 2-sobno,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p. ","Na izjemni lokaciji, v bližini strogega mestnega jedra, prodamo delno obnovljeno 2-sobno stanovanje v vzdrževani večstanovanjski stavbi. V neposredni bližini je vsa infrastruktura, UKC, mestna tržnica in sprehajalne poti ob Ljubljanici. Parkiranje je zagotovljeno z zapornico, kjer je dovolj parkirnih mest za stanovalce. Stanovanje se nahaja v visokem pritličju, je svetlo, orientirano na vzhod in omogoča uživanje v dopoldanskem soncu. Leta 2000 je bilo stanovanje prenovljeno in opremljeno. Razporeditev obsega predprostor, kopalnico, manjši dnevno bivalni prostor s kuhinjo in jedilnico, spalnico ter kabinetom. Stavba je lepo vzdrževana. Stroški so odvisni od porabe (upravnik, elektrika, voda, ogrevanje-toplovod) in so relativno nizki, med 120€ in 160€ (poletje/zima). Potencialnemu kupcu omogoča takojšnjo vselitev in uporabo. Vpisano v ZK in brez bremen. POGOJ PRODAJE: Naročitelj storitve, v primeru realizacije prodaje/nakupa nepremičnine, plača agencijsko provizijo v višini 2 % od pogodbeno dogovorjene prodajne vrednosti nepremičnine + DDV. V primeru zanimanja nas kontaktirajte; agent Andrej Štebal, Tel: 00386-40-301-083, E-mail: astebal@bazarealestate.com. Vljudno vabljeni k ogledu."
"238.000,00",LJ. CENTER,"51,1",1960,Stanovanje, 2-sobno,Media nepremičnine d.o.o. ,"Na odlični lokaciji v Centru Ljubljane prodamo izredno prijetno in svetlo, v celoti obnovljeno dvosobno stanovanje, ki se nahaja v lepo urejenem bloku z dvemi dvigali.   Stanovanje obsega predprostor, bivalno kuhinjo z jedilnico in manjšo shrambo, prostorno dnevno sobo ter spalnico. Stanovanje je bilo v celoti obnovljeno (vključno z inštalacijami, okni, podi,..), opremljeno je s kakovostnim pohištvom in z omarami po meri ter protivlomnimi vrati. Po tleh je položen parket: ameriški oreh. Stanovanje je zelo lepo ohranjeno in redno vzdrževano.   V stanovanju so nameščene tako rulete, kot tudi žaluzije. Možna bo tudi namestitev notranje klime.   Kratkoročno parkiranje je dovoljeno pred blokom, drugače se parkira v bližini - z dovolilnico.   Mesečni stroški znašajo med 100 EUR (poleti) in 150 EUR (pozimi).   Zunanjost in okolica bloka sta urejeni.   Stanovanju pripada souporaba kolesarnice in shramba v kleti objekta.   V stanovanju je napeljana optika.   Prodaja se v celoti opremljeno kot vidno na fotografijah.   Za več informacij pokličite Katjo: 040 783 383 ali Karmen: 051 686 320   Pogoj prodajalca je, da kupec prevzame plačilo Davka na promet nepremičnin v višini 2%.   Vabljeni na ogled!  "
"237.900,00",LJ. CENTER,52,1960,Stanovanje, 2-sobno,KREATIVDOM d.o.o. ,"Dvosobno stanovanje, 52,1 m2, v 4. nadstropju, LJ. CENTER, ŠTEFANOVA UL. Na Štefanovi ulici, v samem Centru mesta, v objektu zgrajenem l. 1960, prodamo dvosobno stanovanje s shrambo. Stanovanje se nahaja v 4. od 15. nadstropij in je bilo l. 2010 kompletno obnovljeno ter po meri opremljeno. Stanovanje nudi vse prednosti in ugodnosti življenja v samem centru mesta in možnost rekreacije v zelenem okolju (Tivoli, Ljubljanica…). Stanovanje ima zelo funkcionalen tloris in je primerno tako za mlade družine, mlajši ali starejši par, ali samsko osebo, kot tudi kot investicija. Stanovanje se prodaja kompletno opremljeno in je takoj vseljivo.  Površina, razporeditev in lega  Stanovanje skupne površine 52,1 m2 obsega 51,1 m2 neto bivalne površine in 1,0 m2 shrambe. V skupni uporabi je še kolesarnica in terasa na vrhu zgradbe.    	Stanovanje obsega: hodnik z veliko garderobnimi omarami, kopalnico z wc-jem, prostorno kuhinjo z jedilnico in utilityem, veliko dnevno sobo z lepo urejenim delovnim kotičkom in spalnico povezano skupaj z garderobno sobo. Stanovanje nima balkona je pa zelo svetlo.    Stanovanje je obrnjeno na JV.   Prenove in opremljenost  Stanovanje je bilo kompletno obnovljeno (vse inštalacije, tla, okna z zunanjimi roletami, vhodna protivlomna vrata) in opremljeno s pohištvom po meri in vsemi sodobnimi aparati. Na objektu je bila pred kratkim obnovljena fasada in zamenjana streha, ter vgrajeni dve novi dvigali. Stanovanje se prodaja kompletno opremljeno in je takoj vseljivo.  Dodatne karakteristike  Dvigalo: Da 2x. 	Balkon: Ne. 	Parkiranje: v okolici objekta. 	Internet: optika. 	Ogrevanje: toplarna. Opis lokacije in razpoložljiva infrastruktura V okolici se nahaja vsa potrebna infrastruktura (šola, vrtec, vsa druga potrebna infrastruktura in zelene površine,...).  Ostalo ZK urejeno. Vseljivo takoj.  Ponudbeni pogoj prodajalca: kupec je dolžan povrniti del stroška prodaje v višini 2% + ddv, obračunano od pogodbene vrednosti nepremičnine.  Vabljeni na ogled!       "
